orgpermid,year,cusip,isin,sedol,ticker,siccode,naicscode,comname,fieldid,hierarchy,pillar,fieldname,valuedate,value,valuescore,currency
4295903104,2025,244199105,US2441991054,2261203,DE,3523,,DEERE & COMPANY,2,Score,ESG Scores,ESGCombinedScore,46046,C+,0.4500882826,
5040186364,2025,24703L202,US24703L2025,BHKD3S6,DELL,3571,,DELL TECHNOLOGIES INC.,2,Score,ESG Scores,ESGCombinedScore,46046,B-,0.52410166670000002,
4295903123,2025,256677105,US2566771059,B5B1S13,DG,5331,,DOLLAR GENERAL CORPORATION,2,Score,ESG Scores,ESGCombinedScore,46046,B+,0.68491929060000001,
4295903861,2025,23331A109,US23331A1097,2250687,DHI,1531,,"D.R. HORTON, INC.",2,Score,ESG Scores,ESGCombinedScore,46046,C+,0.44626490299999999,
5064610769,2025,254687106,US2546871060,2270726,DIS,7990,,THE WALT DISNEY COMPANY,2,Score,ESG Scores,ESGCombinedScore,46046,C,0.34298277649999998,
4295906195,2025,256746108,US2567461080,2272476,DLTR,5331,,"DOLLAR TREE, INC.",2,Score,ESG Scores,ESGCombinedScore,46046,C,0.40855753020000002,
4295857707,2025,,AU000000DOW2,6465573,DOW,,,DOWNER EDI LIMITED,2,Score,ESG Scores,ESGCombinedScore,46046,B+,0.71611760260000001,
4295903847,2025,237194105,US2371941053,2289874,DRI,5812,,"DARDEN RESTAURANTS, INC.",2,Score,ESG Scores,ESGCombinedScore,46046,B-,0.54454757030000001,
4295901526,2025,285512109,US2855121099,2310194,EA,7372,,ELECTRONIC ARTS INC.,2,Score,ESG Scores,ESGCombinedScore,46046,B,0.65440581890000005,
4295903171,2025,518439104,US5184391044,2320524,EL,2844,,THE ESTEE LAUDER COMPANIES INC.,2,Score,ESG Scores,ESGCombinedScore,46046,B+,0.67127061320000003,
4295857931,2025,,AU000000EMR4,6107381,EMR,,,EMERALD RESOURCES NL,2,Score,ESG Scores,ESGCombinedScore,46046,C,0.37414528899999999,
4295903920,2025,291011104,US2910111044,2313405,EMR,36,,EMERSON ELECTRIC CO.,2,Score,ESG Scores,ESGCombinedScore,46046,B-,0.50923563059999999,
5050698597,2025,,AU000000EQT1,BD5WNY6,EQT,,,EQT HOLDINGS LIMITED,2,Score,ESG Scores,ESGCombinedScore,46046,B-,0.55307122200000003,
4295912126,2025,31428X106,US31428X1063,2142784,FDX,4513,,FEDEX CORPORATION,2,Score,ESG Scores,ESGCombinedScore,46046,C+,0.41906691509999999,
4295903960,2025,303250104,US3032501047,2330299,FICO,7389,,FAIR ISAAC CORPORATION,2,Score,ESG Scores,ESGCombinedScore,46046,C+,0.43628237939999998,
5067498187,2025,35137L105,US35137L1052,BJJMGL2,FOXA,4833,,FOX CORPORATION,2,Score,ESG Scores,ESGCombinedScore,46046,C,0.37275745859999998,
4295904061,2025,370334104,US3703341046,2367026,GIS,2040,,"GENERAL MILLS, INC.",2,Score,ESG Scores,ESGCombinedScore,46046,C+,0.49717594780000002,
4296066923,2025,,INE066F01020,BR56KD4,HAL,,,HINDUSTAN AERONAUTICS LIMITED,2,Score,ESG Scores,ESGCombinedScore,46046,C-,0.29709362579999998,
4295858576,2025,,AU000000HAS0,B29V502,HAS,,,HASTINGS TECHNOLOGY METALS LTD,2,Score,ESG Scores,ESGCombinedScore,46046,B-,0.53932518490000003,
4295895731,2025,,GB0004161021,416102,HAS,,,HAYS PLC,2,Score,ESG Scores,ESGCombinedScore,46046,B-,0.54600808410000001,
